##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
1103	125-129	-0.02774242843381103
1103	130-134	-0.07630185012569513
1103	135-139	-0.2084675648473322
1103	140-144	0.3103381793933835
1103	145-149	0.04530823721365351
1103	150-151	-0.04310644840857236
1104	1	0.23735322569347517
1104	2	0.5778062357524618
1104	3	0.2910773268105018
1104	4	0.206085592414901
1104	5	0.24213376709451495
1104	6	-0.03772510854263089
1104	7	0.1002550901333592
1104	8	0.023446753741254156
1104	9	-0.012650547635736586
1104	10-14	-0.11595209668964657
1104	15-19	-0.11074113297427601
1104	20-24	-0.047352120826964494
1104	25-29	-0.06419846449921351
1104	30-34	-0.006257885224449922
1104	35-39	-0.08076482132628371
1104	40-44	-0.1066231203992345
1104	45-49	-0.05878672899720527
1104	50-54	-0.10950246662106622
1104	55-59	-0.12217129356489664
1104	60-64	-0.234277006720518
1104	65-69	-0.012417774694490902
1104	70-74	-0.06057729063702055
1104	75-79	-0.3934917571004135
1104	80-84	-0.25318916119267953
1104	85-89	-0.12641819436539947
1104	90-94	-0.2398966639078992
1104	95-99	-0.13014902821260677
1104	100-104	-0.1274332702377734
1104	105-109	-0.20611957879080478
1104	110-114	-0.10424948645327703
1104	115-119	-0.09047956776272059
1104	120-124	-0.10160540234631554
1104	125-129	-0.05971081703950887
1104	130-134	0.008822618395960546
1104	135-139	0.12270677095140314
1104	140-144	-0.036655524029093556
1104	145-149	-0.37276703713791903
1104	150-151	-0.06758277381158706
1105	1	0.10315104733021485
1105	2	0.07826722367301642
1105	3	0.17773680519094626
1105	4	0.1804734160831174
1105	5	0.19181576356287877
1105	6	0.1679848909885706
1105	7	-0.14338093255662443
1105	8	0.18485503277177173
1105	9	-0.07103193309977485
1105	10-14	0.16807271852451322
1105	15-19	0.07947029640081382
1105	20-24	0.12915780994671877
1105	25-29	0.18790723456162084
1105	30-34	-0.04251919779674296
1105	35-39	0.13308746307581032
1105	40-44	0.3020942411753893
1105	45-49	0.04139152412221847
1105	50-54	0.21793051203454183
1105	55-59	0.02051857378353361
1105	60-64	0.06836251543300165
1105	65-69	-0.06703561809185743
1105	70-74	0.005404338960715904
1105	75-79	0.11934608585585949
1105	80-84	-0.05622079632658483
1105	85-89	-0.15337315963463283
1105	90-94	0.13857993915483746
1105	95-99	0.08317773913361748
1105	100-104	0.009341494723805965
1105	105-109	-0.05125748129591301
1105	110-114	0.08532365063290115
1105	115-119	0.046403915851364275
1105	120-124	0.14713672836985836
1105	125-129	-0.16887923680310735
1105	130-134	-0.14622682230508843
1105	135-139	0.14438876345637652
1105	140-144	0.027373200744094106
1105	145-149	-0.15040952636788774
1105	150-151	0.19152733614915718
1106	1	0.04638657579367589
1106	2	-0.13762806606714406
1106	3	0.2412158530825863
1106	4	0.16087892079801946
1106	5	-0.015485177870239397
1106	6	0.19595713534344839
1106	7	-0.24320223818588005
1106	8	-0.21651108956038456
1106	9	-0.04521020974340928
1106	10-14	0.012619445942114282
1106	15-19	0.06486067784754113
1106	20-24	-0.09560876569670285
1106	25-29	-0.16604840900886586
1106	30-34	-0.1822956346316218
1106	35-39	-0.40978702894116026
1106	40-44	-0.04358500263369791
1106	45-49	-0.07620553860725465
1106	50-54	-0.04614766223456712
1106	55-59	-0.06838616862985702
1106	60-64	0.0759392091913611
1106	65-69	0.07709824301210233
1106	70-74	-0.2818801716101973
1106	75-79	-0.011067128775465562
1106	80-84	-0.08917133843177538
1106	85-89	0.041569261498821675
1106	90-94	0.20121174464910752
1106	95-99	0.06773051450003464
1106	100-104	0.36819248197247845
1106	105-109	0.13697341992359213
1106	110-114	0.05587328580310924
1106	115-119	0.05330140204242184
1106	120-124	0.07944848579834485
1106	125-129	0.21826777631805783
1106	130-134	0.03377606366596808
1106	135-139	0.07297245910613981
1106	140-144	0.21273369526689123
1106	145-149	0.01393609810703822
1106	150-151	0.2429884021388986
1107	1	0.5445548477155455
1107	2	0.309969841632288
1107	3	0.04782860376297293
1107	4	-0.05432693146703116
1107	5	0.22858052499992
1107	6	0.1658542574650923
1107	7	-0.024367672762885206
1107	8	-0.08912781638390754
1107	9	0.18369210452630824
1107	10-14	0.14883052895856963
1107	15-19	0.039461229875179527
1107	20-24	-0.005659915110889813
1107	25-29	0.04697867122816035
1107	30-34	-0.028665184323763526
1107	35-39	-0.03834851116759097
1107	40-44	0.07271049084852876
1107	45-49	0.18986791078582854
1107	50-54	0.19700732322273495
1107	55-59	0.05949230873483202
1107	60-64	-0.054183234948375514
1107	65-69	0.04630841286359555
1107	70-74	0.11997403363896808
1107	75-79	0.04844202602821923
1107	80-84	0.16611867026081484
1107	85-89	0.09561334711279557
1107	90-94	0.10476476005034385
1107	95-99	0.009221514051276358
1107	100-104	0.10429708118236647
1107	105-109	-0.09882148399493929
1107	110-114	0.03647244457388865
1107	115-119	0.09984531937423924
1107	120-124	0.13219742176204363
1107	125-129	0.17003612436113968
1107	130-134	-0.006969519142487002
1107	135-139	-0.004769231684598196
1107	140-144	0.17931514667677817
1107	145-149	-0.1441583878800543
1107	150-151	0.22669223152713158
1108	1	-0.13663685226541844
1108	2	-0.19880609592719622
1108	3	0.24756208939022883
1108	4	-0.02798008204765523
1108	5	0.062922805601481
1108	6	0.2511007832598722
1108	7	-0.482924687801912
1108	8	0.0562367372045145
1108	9	-0.25285843802080876
1108	10-14	0.05050195481047126
1108	15-19	0.009702996484733717
1108	20-24	-0.045500006487252165
1108	25-29	-0.13932249001303632
1108	30-34	0.014540602845478645
1108	35-39	0.014817298845734683
1108	40-44	-0.012415562746184605
1108	45-49	0.04217583784771506
1108	50-54	-0.10112646242518508
1108	55-59	-0.15836390382424526
1108	60-64	-0.1259152872679863
1108	65-69	-0.034425673457803896
1108	70-74	0.069048210589024
1108	75-79	-0.07634062358457783
1108	80-84	0.008431989017473995
1108	85-89	-0.1055223095709934
1108	90-94	0.016195928951979965
1108	95-99	-0.24944113660466627
1108	100-104	-0.1111166738833731
1108	105-109	-0.3418674226965166
1108	110-114	-0.2612292741529103
1108	115-119	-0.18252813088238895
1108	120-124	0.05666493152467922
1108	125-129	-0.16563342636074907
1108	130-134	-0.13962079915275183
1108	135-139	-0.05740698881590589
1108	140-144	0.06284006977041656
1108	145-149	-0.3049789508338989
1108	150-151	0.1420507097536543
1109	1	0.21769524386174766
1109	2	0.25023975568304735
1109	3	0.4948983470290429
1109	4	0.1110668942954689
1109	5	0.14287631664260658
1109	6	0.3288348214258079
1109	7	-0.04849286535974073
1109	8	0.3265175455125444
1109	9	0.37762182291722013
1109	10-14	0.15968352418774856
1109	15-19	0.1486060070197368
1109	20-24	0.09382290432142781
1109	25-29	0.00587302605190132
1109	30-34	0.04281488770282493
1109	35-39	0.1292384169336387
1109	40-44	0.09499935724480224
1109	45-49	0.16160411437596878
1109	50-54	0.028676125132335528
1109	55-59	0.2471794752748906
1109	60-64	0.25855927473904927
1109	65-69	0.22204226804950622
1109	70-74	0.12481277268838653
1109	75-79	0.16868505996133365
1109	80-84	0.06297369878069503
1109	85-89	0.16670881278353278
1109	90-94	0.14656908014550396
1109	95-99	0.3168985423381301
1109	100-104	0.06690546672252395
1109	105-109	0.2121255598620877
1109	110-114	0.26033814294723356
1109	115-119	0.12199432589766701
1109	120-124	0.044924045109887345
1109	125-129	0.05125456633810899
1109	130-134	0.25955413498537183
1109	135-139	0.055755649085369896
1109	140-144	0.274686104246868
1109	145-149	0.0904162084714244
1109	150-151	0.18628975674638326
1110	1	0.33285427751982866
1110	2	0.5400361076208853
1110	3	0.366282911052231
1110	4	0.20273887220071174
1110	5	0.3716996496724434
1110	6	0.18578799147649505
1110	7	0.2714637342335706
1110	8	0.047973431882390116
1110	9	0.6475617300464194
1110	10-14	0.10040858412886422
1110	15-19	9.915118909020748E-4
1110	20-24	0.0789817862298321
1110	25-29	0.08033203846501635
1110	30-34	-0.01914753907796296
1110	35-39	0.10953251826683186
1110	40-44	0.053456356370944036
1110	45-49	0.1102486446596771
1110	50-54	0.05382540134534253
1110	55-59	0.0749189154338552
1110	60-64	0.1883922406330143
1110	65-69	0.05217584838890588
1110	70-74	0.048968415306788415
1110	75-79	0.06237918272847054
1110	80-84	0.015865563021371543
1110	85-89	0.2077594909161249
1110	90-94	0.20420509401482434
1110	95-99	0.20786995529152108
1110	100-104	0.014340534473760158
1110	105-109	0.21851865457090724
1110	110-114	0.15602579414407103
1110	115-119	0.09604876995861389
1110	120-124	-0.05024619637518413
1110	125-129	0.024984213760099294
1110	130-134	0.18916859172607303
1110	135-139	0.38624657664578166
1110	140-144	-0.028556501995822714
1110	145-149	0.10861733953572639
1110	150-151	0.10213991940300815
1111	1	0.24963765753849998
1111	2	0.00853103247254694
1111	3	-0.003924311621787524
1111	4	-0.16106041095341084
1111	5	0.18069636663879862
1111	6	-0.09817182901084465
1111	7	-0.10771912170450548
1111	8	0.22979777452267314
1111	9	0.2124167042941849
1111	10-14	0.18168475050939747
1111	15-19	0.24444050439112885
1111	20-24	0.206188798066826
1111	25-29	0.16149977437659402
1111	30-34	0.12328190581828835
1111	35-39	0.2333119225016489
1111	40-44	0.13545638622964873
1111	45-49	0.14823277621241004
1111	50-54	0.23563174419735589
1111	55-59	0.16705175713561715
1111	60-64	0.20804770191004707
1111	65-69	0.16601261349613594
1111	70-74	0.003952839543501341
1111	75-79	0.3178566038417543
1111	80-84	0.13358852361690055
1111	85-89	0.164851740646192
1111	90-94	0.08814665611130579
1111	95-99	0.26494854443311056
1111	100-104	0.2003614667468696
1111	105-109	0.05755241269527289
1111	110-114	0.1315859299683737
1111	115-119	0.20736998660497363
1111	120-124	0.19094329207720762
1111	125-129	0.47384986612119206
1111	130-134	0.06599085771414082
1111	135-139	0.2500141907832756
1111	140-144	0.08993112534341208
1111	145-149	0.38028309471740585
1111	150-151	0.41619658488543365
1112	1	0.30512525900631005
1112	2	0.11210980162275064
1112	3	0.2542191189317293
1112	4	0.12029820847460826
1112	5	0.2334183762304889
1112	6	0.3032228040908862
1112	7	0.17680324874132936
1112	8	0.24058752856075927
1112	9	0.02300056342475898
1112	10-14	0.06779688790657445
1112	15-19	0.17347778428265315
1112	20-24	-0.0641634113577112
1112	25-29	0.2652736773764133
1112	30-34	-0.04790500299610301
1112	35-39	0.05268971813481471
1112	40-44	0.093767529153574
1112	45-49	0.022879937669458172
